Selection:  EFST: [x, y]: [502 501], 0 f: 0.00287 s: 0.00287 g: 0, idx: 6, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 501], 0 f: 0.00287 s: 0.00287 g: 0, idx: 6, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [503 500], 0 f: 0.00287 s: 0.00287 g: 1, idx: 10, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 501], 1 f: 0.00287 s: 0.00170 g: 0, idx: 6, ggf: 1.00000, nof: 1.00000, nwof: 0.59091
Selection:  EFST: [x, y]: [504 501], 0 f: 0.00286 s: 0.00286 g: 2, idx: 11, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 501], 1 f: 0.00287 s: 0.00191 g: 0, idx: 6, ggf: 1.00000, nof: 1.00000, nwof: 0.66667
Selection:  EFST: [x, y]: [504 502], 0 f: 0.00285 s: 0.00285 g: 0, idx: 8, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 501], 1 f: 0.00287 s: 0.00210 g: 0, idx: 6, ggf: 1.00000, nof: 1.00000, nwof: 0.73077
Selection:  EFST: [x, y]: [505 501], 0 f: 0.00285 s: 0.00285 g: 1, idx: 13, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 501], 1 f: 0.00287 s: 0.00226 g: 0, idx: 6, ggf: 1.00000, nof: 1.00000, nwof: 0.78571
Selection:  EFST: [x, y]: [504 502], 0 f: 0.00285 s: 0.00285 g: 2, idx: 14, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 501], 1 f: 0.00287 s: 0.00239 g: 0, idx: 6, ggf: 1.00000, nof: 1.00000, nwof: 0.83333
Selection:  EFST: [x, y]: [503 501], 0 f: 0.00287 s: 0.00287 g: 3, idx: 15, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 501], 1 f: 0.00287 s: 0.00251 g: 0, idx: 6, ggf: 1.00000, nof: 1.00000, nwof: 0.87500
Selection:  EFST: [x, y]: [502 500], 0 f: 0.00288 s: 0.00288 g: 4, idx: 16, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 500], 0 f: 0.00288 s: 0.00288 g: 4, idx: 16, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [503 501], 0 f: 0.00287 s: 0.00287 g: 5, idx: 17, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 500], 1 f: 0.00288 s: 0.00272 g: 4, idx: 16, ggf: 1.00000, nof: 1.00000, nwof: 0.94444
Selection:  EFST: [x, y]: [504 502], 0 f: 0.00285 s: 0.00285 g: 6, idx: 18, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [502 500], 1 f: 0.00288 s: 0.00280 g: 4, idx: 16, ggf: 1.00000, nof: 1.00000, nwof: 0.97368
Selection:  EFST: [x, y]: [502 500], 1 f: 0.00288 s: 0.00288 g: 4, idx: 16, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
